country,country_name,bidding_zone,psr_type,generation_type,start_time,position,quantity_mw
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,76,6.64
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,77,1.04
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,78,16.17
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,79,20.12
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,80,37.57
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,81,36.39
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,82,31.82
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,83,31.64
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,84,30.34
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,85,15.53
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,86,53.62
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,87,8.85
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,88,5.41
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,89,1.81
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,90,1.12
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,91,0.87
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,92,2.84
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,93,0.37
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,94,1.27
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,95,1.32
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,96,4.23
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,1,424.29
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,2,424.32
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,3,423.67
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,4,425.37
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,5,424.64
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,7,423.94
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,8,424.57
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,9,424.41
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,10,423.66
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,11,423.47
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,12,422.69
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,13,421.7
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,14,421.13
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,15,421.4
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,16,420.32
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,17,419.74
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,18,420.55
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,19,419.34
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,20,417.57
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,21,417.41
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,22,419.22
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,23,418.96
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,24,417.65
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,25,419.57
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,26,421.83
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,27,421.23
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,28,419.73
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,29,421.0
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,30,422.36
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,31,422.2
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,32,420.93
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,33,420.97
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,34,420.49
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,35,419.68
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,36,418.52
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,37,419.29
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,38,415.63
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,39,413.4
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,40,413.98
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,41,420.65
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,42,414.14
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,43,408.08
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,44,408.96
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,45,409.1
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,46,410.06
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,47,410.19
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,48,411.16
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,49,391.63
