country,bidding_zone,psr_type,start_time,position,quantity_mw
FR,,B25,2026-01-27T00:00Z,75,6.17
FR,,B25,2026-01-27T00:00Z,76,6.64
FR,,B25,2026-01-27T00:00Z,77,1.04
FR,,B25,2026-01-27T00:00Z,78,16.17
FR,,B25,2026-01-27T00:00Z,79,20.12
FR,,B25,2026-01-27T00:00Z,80,37.57
FR,,B25,2026-01-27T00:00Z,81,36.39
FR,,B25,2026-01-27T00:00Z,82,31.82
FR,,B25,2026-01-27T00:00Z,83,31.64
FR,,B25,2026-01-27T00:00Z,84,30.34
FR,,B25,2026-01-27T00:00Z,85,15.53
FR,,B25,2026-01-27T00:00Z,86,53.62
FR,,B25,2026-01-27T00:00Z,87,8.85
FR,,B25,2026-01-27T00:00Z,88,5.41
FR,,B25,2026-01-27T00:00Z,89,1.81
FR,,B25,2026-01-27T00:00Z,90,1.12
FR,,B25,2026-01-27T00:00Z,91,0.87
FR,,B25,2026-01-27T00:00Z,92,2.84
FR,,B25,2026-01-27T00:00Z,93,0.37
FR,,B25,2026-01-27T00:00Z,94,1.27
FR,,B25,2026-01-27T00:00Z,95,1.32
FR,,B25,2026-01-27T00:00Z,96,4.23
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,1,424.29
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,2,424.32
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,3,423.67
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,4,425.37
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,5,424.64
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,7,423.94
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,8,424.57
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,9,424.41
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,10,423.66
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,11,423.47
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,12,422.69
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,13,421.7
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,14,421.13
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,15,421.4
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,16,420.32
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,17,419.74
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,18,420.55
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,19,419.34
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,20,417.57
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,21,417.41
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,22,419.22
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,23,418.96
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,24,417.65
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,25,419.57
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,26,421.83
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,27,421.23
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,28,419.73
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,29,421.0
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,30,422.36
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,31,422.2
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,32,420.93
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,33,420.97
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,34,420.49
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,35,419.68
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,36,418.52
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,37,419.29
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,38,415.63
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,39,413.4
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,40,413.98
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,41,420.65
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,42,414.14
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,43,408.08
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,44,408.96
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,45,409.1
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,46,410.06
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,47,410.19
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,48,411.16
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,49,391.63
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,50,390.36
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,51,386.53
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,52,382.68
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,53,381.47
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,54,386.67
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,55,391.33
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,56,391.78
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,57,393.26
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,58,389.65
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,59,389.36
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,60,396.2
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,61,402.26
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,62,411.33
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,63,413.98
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,64,419.29
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,65,422.65
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,66,422.53
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,67,421.41
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,68,421.31
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,69,420.96
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,70,421.45
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,71,417.36
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,72,415.61
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,73,413.34
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,74,414.78
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,75,413.46
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,76,416.15
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,77,416.28
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,78,413.89
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,79,415.94
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,80,419.84
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,81,421.72
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,82,421.09
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,83,420.25
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,84,421.13
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,85,420.66
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,86,420.32
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,87,420.2
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,88,422.55
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,89,421.37
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,90,421.26
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,91,422.37
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,92,420.58
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,93,420.91
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,94,420.5
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,95,420.3
FR,10YFR-RTE------C,B01,2026-01-27T00:00Z,96,420.42
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,1,2169.5
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,2,2105.05
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,3,2104.82
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,4,2046.76
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,5,2007.18
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,6,2000.13
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,7,2007.83
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,8,2025.36
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,9,2010.57
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,10,2001.21
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,11,1986.71
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,12,1993.75
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,13,1973.36
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,14,1970.76
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,15,1986.91
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,16,1986.31
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,17,1992.21
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,18,2025.6
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,19,2025.46
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,20,1998.77
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,21,2204.26
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,22,2248.37
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,23,2149.52
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,24,2289.61
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,25,2313.77
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,26,2441.96
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,27,2522.62
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,28,2556.73
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,29,2709.55
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,30,2817.23
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,31,2855.93
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,32,2830.93
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,33,2857.84
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,34,2881.11
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,35,2861.67
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,36,2811.1
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,37,2814.74
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,38,2788.89
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,39,2759.85
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,40,2819.57
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,41,3023.52
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,42,3341.58
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,43,3395.86
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,44,3616.65
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,45,3746.66
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,46,3728.36
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,47,3849.61
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,48,3915.03
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,49,3845.36
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,50,3905.53
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,51,3953.24
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,52,3923.85
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,53,3822.86
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,54,3736.31
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,55,3735.69
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,56,3751.44
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,57,3788.7
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,58,3926.34
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,59,3939.03
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,60,4175.46
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,61,4462.13
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,62,4710.1
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,63,4846.49
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,64,4957.38
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,65,5348.03
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,66,5709.07
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,67,6078.4
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,68,6187.52
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,69,6215.79
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,70,6224.07
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,71,6218.16
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,72,6191.11
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,73,6203.54
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,74,6239.39
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,75,6230.55
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,76,6074.22
